state,state_abb,dc_count,total_sqft,mean_sqft,mean_co2_rate,mean_co2eq_rate,renewable_pct,nonrenewable_pct,mean_co2_rate_sqftw,mean_co2_rate_mww,sqft_coverage_pct,mw_coverage_pct,mean_lat,mean_lon,bws_category_mode,state_co2_rate,state_renewable_pct
Virginia,VA,319,98744082.0,316487.4423076923,594.4158808777429,597.3282821316615,0.09892789968652037,0.90007210031348,593.419,,97.80564263322884,3.4482758620689653,38.897400085986995,-77.49228992800312,Low,536.851,0.096
Texas,TX,127,40212187.0,326928.34959349595,734.0465039370073,736.7900078740159,0.2789055118110235,0.7200944881889765,733.9335790894934,,96.8503937007874,6.299212598425196,31.378490204841235,-97.4241109202579,High,768.317,0.274
California,CA,112,7473784.0,74737.84,428.464,429.9830000000001,0.4649999999999999,0.537,428.46400000000006,,89.28571428571429,3.571428571428571,36.866717843112944,-121.27688686498267,Low-Medium,393.486,0.476
Oregon,OR,109,53124693.0,501176.3490566038,631.7349999999999,635.2670000000003,0.5510000000000002,0.4480000000000001,631.735,,97.24770642201835,4.587155963302752,45.4934863665357,-120.75466875000109,Low,364.162,0.621
Ohio,OH,91,79314189.0,881268.7666666667,911.4239999999998,916.0540000000001,0.07599999999999997,0.9230000000000002,911.424,,98.9010989010989,5.4945054945054945,40.14610881412661,-82.9366483135362,Medium-High,1063.843,0.038
Washington,WA,82,35289624.0,435674.3703703704,631.735,635.2669999999999,0.5510000000000002,0.44800000000000006,631.735,,98.78048780487805,3.6585365853658534,47.38743208063184,-120.54935735152259,Extremely High,265.119,0.686
Arizona,AZ,65,43493083.0,869861.66,703.703,706.1890000000001,0.22300000000000003,0.777,703.7030000000001,,76.92307692307693,9.230769230769232,33.359049869850715,-111.84435787591549,Extremely High,686.688,0.138
Iowa,IA,63,56025043.0,889286.3968253968,920.1299999999997,926.5520000000004,0.43499999999999983,0.564,920.1300000000001,,100.0,1.5873015873015872,41.44331949519898,-94.2810863643243,Low,630.187,0.617
New Jersey,NJ,53,8052503.0,161050.06,590.2093773584904,592.4455849056603,0.04713207547169812,0.9528679245283019,588.0560341861407,,94.33962264150944,0.0,40.63080598485466,-74.34386033755334,High,468.31,0.032
Illinois,IL,50,22220623.0,505014.1590909091,924.5606,929.3551199999998,0.07904,0.9198800000000001,912.1012667427011,,88.0,10.0,41.82597635259172,-88.01649344325604,High,471.705,0.135
Nevada,NV,38,7807466.0,216874.05555555556,675.2945789473686,678.1934736842103,0.35247368421052644,0.6471315789473686,680.730290339785,,94.73684210526315,2.631578947368421,37.46290686411712,-116.87192844152396,Low,642.37,0.368
Georgia,GA,37,22196528.0,652839.0588235294,842.3290000000002,846.0070000000002,0.09500000000000003,0.9050000000000001,842.329,842.3289999999998,91.8918918918919,48.64864864864865,33.78005825543769,-84.32659567174815,Medium-High,713.831,0.114
Nebraska,NE,26,47178110.0,1814542.6923076923,920.13,926.5519999999999,0.435,0.564,920.1300000000001,,100.0,7.6923076923076925,41.184491567576416,-96.21396525685529,Low,1018.154,0.334
North Carolina,NC,23,16923053.0,890687.0,593.419,596.3260000000002,0.09900000000000002,0.8999999999999997,593.4190000000001,,82.6086956521739,0.0,35.51527575414997,-80.5033842533369,High,623.958,0.141
Tennessee,TN,22,50601005.0,2530050.25,898.0790000000002,903.3060000000002,0.09099999999999998,0.9089999999999999,898.079,,90.9090909090909,9.090909090909092,36.16305900028004,-86.92101469183642,Low-Medium,657.267,0.115
New York,NY,21,1208800.0,75550.0,523.8805714285713,525.1712857142857,0.24423809523809525,0.7557619047619049,383.9172782743216,,76.19047619047619,28.57142857142857,41.620891813556874,-74.95552265407439,Low,465.136,0.297
Colorado,CO,20,1463459.0,86085.82352941176,1036.6009999999999,1042.5390000000002,0.41899999999999993,0.5809999999999998,1036.601,,85.0,0.0,39.5186058318139,-104.8529049542943,Extremely High,1085.021,0.373
Wyoming,WY,19,21744841.0,1144465.3157894737,1015.2922631578947,1021.1036315789474,0.42594736842105263,0.574,1036.489751803244,,100.0,0.0,41.28695787774174,-104.89097271481779,Extremely High,1820.318,0.225
Florida,FL,16,594424.0,54038.545454545456,782.262,784.785,0.066,0.931,782.262,,68.75,0.0,27.803867265782863,-81.34629089219382,High,786.645,0.067
New Mexico,NM,16,25156896.0,2286990.5454545454,703.703,706.189,0.223,0.777,703.703,,68.75,0.0,34.84399421567266,-106.6394172881915,High,770.214,0.45
Utah,UT,15,25501493.0,1821535.2142857143,631.735,635.2669999999999,0.551,0.4480000000000002,631.735,,93.33333333333333,0.0,40.2279309431845,-111.91653655405403,Medium-High,1413.019,0.181
Missouri,MO,15,15013974.0,1154921.076923077,987.9456666666666,994.6873333333334,0.318,0.6809999999999999,864.8319492671294,,86.66666666666667,0.0,39.147143816871825,-93.55204699218979,Low,1444.137,0.117
Maryland,MD,13,522848.0,65356.0,621.0978461538463,623.5456923076923,0.042769230769230775,0.9571538461538462,635.4171318471142,,61.53846153846154,23.076923076923077,39.2398980770516,-76.75924483977681,Low-Medium,520.022,0.1
Wisconsin,WI,13,18434325.0,1843432.5,1098.974076923077,1104.9034615384614,0.14092307692307693,0.8584615384615385,1393.228071001949,,76.92307692307693,7.6923076923076925,43.35574766872698,-88.92065949139477,High,1156.996,0.095
South Carolina,SC,12,14133358.0,1177779.8333333333,593.419,596.326,0.09899999999999999,0.9,593.4189999999999,,100.0,0.0,33.16270818807666,-80.10005417351779,Medium-High,557.173,0.062
Alabama,AL,11,24800422.0,2254583.8181818184,887.9426363636362,892.888,0.09172727272727271,0.9082727272727275,896.5587031377128,,100.0,0.0,34.38504419014617,-86.31698677094755,Low,710.988,0.092
Minnesota,MN,11,11583531.0,1053048.2727272727,920.1299999999999,926.552,0.43499999999999994,0.564,920.1299999999999,,100.0,0.0,45.015008547360445,-93.05508220614183,Low,747.545,0.321
Michigan,MI,10,270036.0,33754.5,970.617,975.9779999999998,0.11200000000000002,0.8880000000000001,970.617,,80.0,10.0,42.43466504931963,-83.57564751570759,Low,793.171,0.101
Pennsylvania,PA,9,609890.0,76236.25,666.7973333333334,669.5886666666667,0.048,0.9517777777777776,642.0008944563773,715.7226666666668,88.88888888888889,44.44444444444444,40.278618166009544,-76.46135920289366,Medium-High,645.773,0.03
Kansas,KS,7,566344.0,80906.28571428571,861.9989999999999,867.7399999999999,0.4009999999999999,0.5990000000000001,861.999,,100.0,0.0,38.925676177028826,-95.45520368904603,Low-Medium,728.16,0.469
Oklahoma,OK,6,549376.0,137344.0,872.042,875.567,0.367,0.63,872.042,,66.66666666666666,0.0,35.575055367403245,-96.19457999077423,Low-Medium,647.207,0.436
Connecticut,CT,5,277253.0,69313.25,539.275,543.178,0.192,0.807,539.2750000000001,,80.0,0.0,41.32633106126045,-73.08870678610057,Low,538.266,0.037
Idaho,ID,5,16659915.0,3331983.0,631.735,635.267,0.551,0.44800000000000006,631.7350000000001,,100.0,0.0,43.3064356491474,-114.37883155334809,High,313.292,0.677
Indiana,IN,5,231317.0,77105.66666666667,911.424,916.0539999999999,0.076,0.923,911.424,,60.0,0.0,40.28853318795092,-86.7585850656415,Low-Medium,1457.19,0.127
Kentucky,KY,5,752852.0,150570.4,898.079,903.3060000000002,0.091,0.909,898.0790000000001,,100.0,0.0,37.714420111796315,-86.03390675833899,Low,1735.009,0.073
New Hampshire,NH,3,47602.0,15867.333333333334,539.275,543.178,0.19200000000000003,0.807,539.275,,100.0,0.0,43.0672762901876,-70.90370271864684,Low,272.854,0.166
Massachusetts,MA,3,308979.0,102993.0,539.275,543.178,0.19200000000000003,0.807,539.275,,100.0,0.0,42.56422562166875,-71.197593548726,Low-Medium,822.39,0.196
Arkansas,AR,2,36425.0,18212.5,739.72,741.741,0.03,0.969,739.7200000000001,,100.0,0.0,35.002725817804844,-92.09281468457283,Low,993.413,0.077
Puerto Rico,PR,2,23137.0,23137.0,1543.073,1548.53,0.023,0.977,1543.073,,50.0,0.0,18.43213143416527,-66.08033835738561,Low,1543.073,0.023
South Dakota,SD,2,299088.0,149544.0,920.13,926.552,0.435,0.564,920.13,,100.0,0.0,43.60344267195715,-96.80195094737519,High,334.032,0.787
Mississippi,MS,2,17394333.0,8697166.5,818.8995,822.5235,0.0605,0.9390000000000001,890.6778112999216,,100.0,0.0,33.79574055498409,-90.06301119371622,Low,826.335,0.027
Maine,ME,2,55383.0,55383.0,539.275,543.178,0.192,0.807,539.275,,50.0,0.0,43.77645494131252,-70.09226452273563,Low,311.824,0.651
North Dakota,ND,2,2731968.0,1365984.0,920.13,926.552,0.435,0.564,920.1300000000001,920.13,100.0,50.0,46.41432316528933,-97.70838367950391,Low,1288.364,0.394
Montana,MT,2,10003.0,5001.5,775.9325,780.9095,0.493,0.506,876.5954153753873,,100.0,0.0,46.36951453901264,-109.55665834502989,Extremely High,1056.167,0.506
Louisiana,LA,1,0.0,,739.72,741.741,0.03,0.969,,,0.0,0.0,30.407445999999975,-91.1725454,Low,761.404,0.031
District of Columbia,DC,1,0.0,,596.904,599.17,0.04,0.96,,,0.0,0.0,38.902887900000046,-77.0291491,Low,394.099,0.481
West Virginia,WV,1,0.0,,911.424,916.054,0.076,0.923,,,0.0,0.0,39.63098509999999,-78.2253196,Medium-High,1954.383,0.069
